ID	name	type	URL	description
114679	Tamayura: More Aggressive Picture Drama	Q220898	https://anilist.co/anime/114679	たまゆら ～もあぐれっしぶ～ ピクチャードラマ『来年の夏、汐入で会おうね、なので』. 2013 anime by TYO Animations
114717	Tomica Kizuna Mode Combine Earth Granner	Q63952888	https://anilist.co/anime/114717	トミカ絆合体 アースグランナー. 2020 anime by OLM. Directed by Shinji Ushiro
114719	Squid Introspection	Q20650540	https://anilist.co/anime/114719	逃避のイカ. 2017 anime. Directed by Ayana  Sakurada
114720	Mo Duzhe	Q1047299	https://anilist.co/anime/114720	默读者. anime by L² Studio
114721	OBSOLETE Part II	Q113671041	https://anilist.co/anime/114721	OBSOLETE（オブソリート）Part II. 2020 anime by Buemon. Directed by Seiichi Shirato
114723	Feather robe from heaven	Q20650540	https://anilist.co/anime/114723	羽衣. 2012 anime. Directed by Yuri Nakamoto
114744	Marulk's Daily Life	Q1107	https://anilist.co/anime/114744	マルルクちゃんの日常. 2020 anime by Kinema Citrus
114745	Made in Abyss: The Golden City of the Scorching Sun	Q100269041	https://anilist.co/anime/114745	メイドインアビス 烈日の黄金郷. 2022 anime by Kinema Citrus. Directed by Masayuki Kojima
114746	Legend of Lemnear: Kyokuguro no Tsubasa Valkisas Pilot Film	Q1107	https://anilist.co/anime/114746	極黒の翼 バルキサス　パイロット・フィルム. 1998 anime by AIC
114749	Dreams into Drawing	Q20650540	https://anilist.co/anime/114749	ゆめみのえ. 2019 anime by Yamamura Animation, Inc.. Directed by Kouji Yamamura
114750	Mr. Osomatsu the Movie: Prologue Theater	Q1107	https://anilist.co/anime/114750	えいがのおそ松さん前説劇場. 2019 anime
114753	Horizon	Q64100970	https://anilist.co/anime/114753	Horizon. 2017 anime. Directed by Toshiaki Hanzaki
114754	Haha e	Q64100970	https://anilist.co/anime/114754	母へ. 2019 anime. Directed by Toshiaki Hanzaki
114755	Boundary line	Q20650540	https://anilist.co/anime/114755	境界線. 2014 anime. Directed by Ayaka Nakata
114756	SAKA MEN	Q20650540	https://anilist.co/anime/114756	逆面. 2014 anime. Directed by Shigeru Okada
114757	Candy.zip	Q20650540	https://anilist.co/anime/114757	Candy.zip. 2017 anime. Directed by Tomoki Misato
114758	Bloom	Q20650540	https://anilist.co/anime/114758	2009 anime. Directed by Toshiko Hata
114759	The Thorn Coat	Q20650540	https://anilist.co/anime/114759	가시망토를 쓴 소년. 2013 anime. Directed by Ye-Chan Lee 
114760	Mobile Suit Gakuen: Kaette Kita G-Reco Koushien	Q1107	https://anilist.co/anime/114760	モビルスーツ学園「帰ってきたＧ-レコ甲子園」. 2020 anime
114761	A-RA-SHI : Reborn	Q64100970	https://anilist.co/anime/114761	A-RA-SHI : Reborn. 2020 anime
114762	D.C.	Q20650540	https://anilist.co/anime/114762	D.C.. 2019 anime. Directed by Asuka Hikone
114764	Googuri Googuri	Q20650540	https://anilist.co/anime/114764	ぐーぐりぃ ぐーぐりぃ. 2010 anime. Directed by Yoshiko Misumi
114765	Saezuru Doubutsu wa Yarushikanai!	Q113671041	https://anilist.co/anime/114765	囀る動物はやるしかない！. 2019 anime by AQUA ARIS
114811	Digimon Adventure:	Q63952888	https://anilist.co/anime/114811	デジモンアドベンチャー:. 2020 anime by Toei Animation
114814	Youkai Watch: Shadowside - Oni-ou no Fukkatsu	Q20650540	https://anilist.co/anime/114814	映画 妖怪ウォッチ シャドウサイド 鬼王の復活. 2017 anime
114840	Koikimo	Q113671041	https://anilist.co/anime/114840	恋と呼ぶには気持ち悪い. 2021 anime by Nomad. Directed by Naomi Nakayama
114841	Kidou Senshi Gundam G40	Q1047299	https://anilist.co/anime/114841	機動戦士ガンダムG40. 2020 anime by GEMBA and A-1 Pictures
114842	Mobile Suit Gundam: Iron-Blooded Orphans-Urdr Hunt	Q113671041	https://anilist.co/anime/114842	機動戦士ガンダム 鉄血のオルフェンズ ウルズハント. 2022 anime by Sunrise Beyond. Directed by Tatsuyuki Nagai
114843	Pikotaro's LULLABY LA LA BY	Q113671041	https://anilist.co/anime/114843	ピコ太郎のララバイラーラバイ. 2017 anime. Directed by Takashi Taniguchi
114862	Log Horizon: Destruction of the Round Table	Q100269041	https://anilist.co/anime/114862	ログ・ホライズン　円卓崩壊. 2021 anime by Studio DEEN. Directed by Shinji Ishihira
114863	Megumi to Taiyou: Kajuu Gummi Tweet Love Story	Q1107	https://anilist.co/anime/114863	メグミとタイヨウ 果汁グミ Tweet Love Story. 2011 anime by MADHOUSE
114888	The Millionaire Detective - Balance: UNLIMITED	Q63952888	https://anilist.co/anime/114888	富豪刑事 Balance:UNLIMITED. 2020 anime by CloverWorks. Directed by Tomohiko Itou
114891	The House Spirit Tatami-chan	Q113671041	https://anilist.co/anime/114891	ざしきわらしのタタミちゃん. 2020 anime by Zero-G. Directed by Rensuke Oshikiri
114893	SHOCKING BLACK	Q64100970	https://anilist.co/anime/114893	ショッキングブラック. 2003 anime. Directed by AC-Bu
